sec_label_id,track_id,artist,title,primary_genre,aligned_subgenre,secondary_genre,rule_type,decision,reason
868,2671,Tom MacDonald,Tom MacDonald - Riot,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
869,2672,Tom MacDonald,Tom MacDonald - Save A Life,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
870,2675,Tom MacDonald,Tom MacDonald - See God,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
871,2676,Tom MacDonald,Tom MacDonald - Sellout,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
872,2677,Tom MacDonald,Tom MacDonald - Sheeple,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
873,2680,Tom MacDonald,Tom MacDonald - Still Me,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
874,2681,Tom MacDonald,Tom MacDonald - Still The One,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
875,2682,Tom MacDonald,Tom MacDonald - The Machine,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
876,2683,Tom MacDonald,Tom MacDonald - The Music Industry,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
877,2685,Tom MacDonald,Tom MacDonald - The System,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
878,2687,Tom MacDonald,Tom MacDonald - This House,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
879,2690,Tom MacDonald,Tom MacDonald - Trying To Kill Me,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
880,2691,Tom MacDonald,Tom MacDonald - Underdogs,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
881,2693,Tom MacDonald,Tom MacDonald - Way Off,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
882,2697,Tom MacDonald,Tom MacDonald - Wild Ones,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
883,2698,Tom MacDonald,Tom MacDonald ft. DAX - Blame The Rappers,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
