file_path,bpm,bpm_confidence,key,key_confidence,duration,sample_rate,bitrate,analysis_status,error_reason
C:\Users\suppo\Downloads\New Music\More Music\Alice Cooper Teenage Frankenstein Friday The 13 Part VI.mp3,130.81,1.0,D major,0.8489,219.912,48000,236248,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alissa Griffith - Glasses.mp3,102.27,1.0,G minor,0.8444,218.184,48000,243352,OK,
C:\Users\suppo\Downloads\New Music\More Music\All About Us - He Is We Feat. Owl City.mp3,170.45,1.0,B major,0.9131,212.688,48000,233764,OK,
C:\Users\suppo\Downloads\New Music\More Music\All Falls Down.mp3,98.68,1.0,C# major,0.8668,199.152,48000,260373,OK,
C:\Users\suppo\Downloads\New Music\More Music\All I Do.mp3,112.5,1.0,C major,0.8142,228.528,48000,270414,OK,
C:\Users\suppo\Downloads\New Music\More Music\All I Have.mp3,133.93,1.0,D# minor,0.8132,248.256,48000,269222,OK,
C:\Users\suppo\Downloads\New Music\More Music\All I Want For Christmas Is You.mp3,75.0,1.0,G major,0.9124,241.152,48000,264269,OK,
C:\Users\suppo\Downloads\New Music\More Music\All Of Me.mp3,119.68,1.0,G# major,0.928,269.592,48000,248938,OK,
C:\Users\suppo\Downloads\New Music\More Music\All That Remains - What If I Was Nothing.mp3,144.23,1.0,E major,0.9496,273.096,48000,265355,OK,
C:\Users\suppo\Downloads\New Music\More Music\All The Stars ｜｜ Kendrick Lamar Feat. Sza ｜｜ Traducida Al Español + Lyrics.mp3,96.98,1.0,G# major,0.876,234.312,48000,254486,OK,
C:\Users\suppo\Downloads\New Music\More Music\All To Myself.mp3,95.34,1.0,C# major,0.9778,169.656,48000,257951,OK,
C:\Users\suppo\Downloads\New Music\More Music\All We Know.mp3,89.29,1.0,A minor,0.8651,194.112,48000,251401,OK,
C:\Users\suppo\Downloads\New Music\More Music\Allison Iraheta - Scars.mp3,90.73,1.0,A# major,0.8967,221.16,48000,248273,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alma - Karma.mp3,108.17,1.0,B minor,0.8656,198.048,48000,242530,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alone Together.mp3,181.45,1.0,C# major,0.9354,171.48,48000,264286,OK,
C:\Users\suppo\Downloads\New Music\More Music\Am I Wrong.mp3,119.68,1.0,C minor,0.942,247.56,48000,259217,OK,
C:\Users\suppo\Downloads\New Music\More Music\American Authors - Best Day Of My Life.mp3,100.45,1.0,D major,0.842,220.224,48000,240036,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ancient City in Thailand Part 1 ⧸ Vlog Review No. 333.mp3,95.34,1.0,C major,0.7969,142.896,48000,239448,OK,
C:\Users\suppo\Downloads\New Music\More Music\Andrew Belle - In My Veins Lyrics..mp3,127.84,1.0,C major,0.9536,317.304,48000,242677,OK,
C:\Users\suppo\Downloads\New Music\More Music\Andy Grammer - Fresh Eyes.mp3,122.28,1.0,G major,0.9324,259.8,48000,219134,OK,
C:\Users\suppo\Downloads\New Music\More Music\Andy Grammer - Wish You Pain.mp3,114.8,1.0,D major,0.9424,227.04,48000,267550,OK,
C:\Users\suppo\Downloads\New Music\More Music\Andy Grammer - ＂dont Give Up On Me＂ From The Film Five Feet Apart.mp3,112.5,1.0,D# major,0.9314,196.056,48000,246713,OK,
C:\Users\suppo\Downloads\New Music\More Music\Andy Grammer - ＂dont Give Up On Me＂.mp3,112.5,1.0,D# major,0.931,216.0,48000,217424,OK,
C:\Users\suppo\Downloads\New Music\More Music\Andy McCoy - Strung out.mp3,117.19,1.0,E minor,0.9128,277.248,48000,285665,OK,
C:\Users\suppo\Downloads\New Music\More Music\Angel On Fire ｜｜ Halsey Lyrics.mp3,96.98,1.0,C major,0.852,193.104,48000,251752,OK,
C:\Users\suppo\Downloads\New Music\More Music\Angel With A Shotgun By The Cab.mp3,125.0,1.0,D major,0.9717,221.352,48000,248300,OK,
C:\Users\suppo\Downloads\New Music\More Music\Animal I Have Become.mp3,122.28,1.0,C minor,0.9081,231.432,48000,274691,OK,
C:\Users\suppo\Downloads\New Music\More Music\Animals.mp3,95.34,1.0,C major,0.8275,231.048,48000,262392,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anna Clendening - Anxiety.mp3,117.19,1.0,B major,0.895,192.408,48000,250749,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anna Clendening - Boys Like You (Official Acoustic Lyric Video).mp3,156.25,1.0,D major,0.9439,238.656,48000,218148,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anna Clendening - Boys Like You.mp3,95.34,1.0,D major,0.8973,189.048,48000,253932,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anna Clendening - Dead End.mp3,133.93,1.0,G# major,0.8377,152.616,48000,253756,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anna Clendening - If Im Being Honest.mp3,148.03,1.0,B major,0.8408,158.256,48000,238312,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anna Clendening - Invisible.mp3,110.29,1.0,E major,0.9051,186.984,48000,254365,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anna Clendening - To My Parents Lyrics.mp3,119.68,1.0,G# major,0.9409,250.728,48000,174894,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anna Clendening - To My Parents.mp3,119.68,1.0,G# major,0.9406,251.952,48000,195734,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anna Kendrick - Cups.mp3,130.81,1.0,F major,0.7218,261.744,48000,232491,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anne Marie - 2002.mp3,127.84,1.0,E major,0.9555,186.552,48000,235004,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anne-Marie & James Arthur - Rewrite The Stars.mp3,125.0,1.0,A# major,0.9221,227.4,48000,252937,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anne-Marie - 2002 [Official Video].mp3,127.84,1.0,E major,0.9578,194.4,48000,232902,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anne-Marie - 2002.mp3,127.84,1.0,E major,0.9559,187.368,48000,244863,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anne-Marie - Alarm.mp3,148.03,1.0,C major,0.9184,227.016,48000,239317,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anne-Marie - Bad Girlfriend.mp3,144.23,1.0,G major,0.8827,205.224,48000,243545,OK,
C:\Users\suppo\Downloads\New Music\More Music\Annie Lennox- Sweet Dreams.mp3,125.0,1.0,C minor,0.9207,298.056,48000,210789,OK,
C:\Users\suppo\Downloads\New Music\More Music\AnomiC - On Deaf Ears.mp3,80.36,1.0,D major,0.7022,357.528,48000,261107,OK,
C:\Users\suppo\Downloads\New Music\More Music\Another Empty Bottle.mp3,144.23,1.0,A# major,0.9274,228.96,48000,249831,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anson Seabra - I Cant Carry This Anymore.mp3,165.44,1.0,A# major,0.9264,200.664,48000,210064,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anson Seabra - Robin Hood.mp3,156.25,1.0,E major,0.9671,222.36,48000,211732,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anson Seabra - Thats Us.mp3,133.93,1.0,A# major,0.9626,270.048,48000,228968,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anson Seabra - Trying My Best.mp3,152.03,0.9218,F major,0.9102,286.992,48000,204385,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anson Seabra – Emerald Eyes.mp3,200.89,0.9688,E major,0.9507,235.992,48000,219428,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ant Saunders – Yellow Hearts.mp3,64.66,1.0,G major,0.922,223.56,48000,233691,OK,
C:\Users\suppo\Downloads\New Music\More Music\Anth - For Fresia.mp3,127.84,1.0,C# major,0.8191,180.024,48000,236056,OK,
C:\Users\suppo\Downloads\New Music\More Music\Antidote.mp3,89.29,1.0,F minor,0.8232,300.672,48000,222415,OK,
C:\Users\suppo\Downloads\New Music\More Music\Apologize - Onerepublic.mp3,117.19,1.0,D# major,0.827,200.088,48000,242374,OK,
C:\Users\suppo\Downloads\New Music\More Music\Arcade - Nothin to Lose.mp3,127.84,1.0,F# minor,0.8346,274.008,48000,247684,OK,
C:\Users\suppo\Downloads\New Music\More Music\Arch Revenant - Sea Runs Red.mp3,82.72,1.0,C minor,0.8566,240.576,48000,248434,OK,
C:\Users\suppo\Downloads\New Music\More Music\Arctic Monkeys - Do I Wanna Know？.mp3,85.23,1.0,C major,0.7132,265.728,48000,254688,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande & John Legend - Beauty And The Beast.mp3,81.52,1.0,C# major,0.8466,225.432,48000,242436,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - 7 Rings (Lyrics).mp3,70.31,1.0,C# minor,0.8369,178.344,48000,244799,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - 7 rings (Official Video).mp3,70.31,1.0,C# minor,0.8575,184.944,48000,247784,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - 7 Rings.mp3,70.31,1.0,C# major,0.8386,181.512,48000,228766,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - Almost Is Never Enough Ft. Nathan Sykes -.mp3,108.17,0.91,D# major,0.9419,209.592,48000,226494,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - Baby I.mp3,102.27,1.0,F minor,0.6972,203.64,48000,253518,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - Be Alright.mp3,108.17,1.0,C# minor,0.8035,177.408,48000,250412,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - Best Mistake Ft. Big Sean.mp3,95.34,1.0,A# minor,0.8156,233.88,48000,258201,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - Break Free.mp3,130.81,1.0,G minor,0.854,214.056,48000,246926,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - Breathin.mp3,100.45,1.0,G# major,0.934,199.008,48000,236232,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - Dangerous Woman (Official Video).mp3,133.93,1.0,C major,0.8668,235.704,48000,257074,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - Dangerous Woman.mp3,133.93,1.0,C major,0.869,234.144,48000,232981,OK,
"C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - Dont Call Me Angel Feat. Miley Cyrus, Lana Del Rey.mp3",102.27,1.0,C minor,0.7583,185.544,48000,248143,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - Everyday Ft. Future.mp3,130.81,1.0,A# major,0.8827,194.688,48000,255799,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - Focus.mp3,100.45,1.0,G# minor,0.8536,225.0,48000,245446,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - Ghostin.mp3,104.17,1.0,A major,0.9211,272.472,48000,247162,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - God Is A Woman.mp3,144.23,1.0,D# minor,0.8299,192.816,48000,240549,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - Grenade.mp3,117.19,1.0,E minor,0.9,212.568,48000,222018,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ariana Grande - Honeymoon Avenue.mp3,125.0,1.0,D# minor,0.8021,339.912,48000,251633,OK,
