folder,filename,extension,size_bytes,size_mb
READY_NORMALIZED,Hammer King - The Devil Will I Do Napalm Records.mp3,.mp3,10092312,9.62
READY_NORMALIZED,Hammerfall - Hammer of Dawn Napalm Records (Alt 1).mp3,.mp3,8978374,8.56
READY_NORMALIZED,Handel - Xerxes： Ombra Mai Fu.mp3,.mp3,6302850,6.01
READY_NORMALIZED,Hank Williams Jr - Simple Man.mp3,.mp3,7508888,7.16
READY_NORMALIZED,Heaven and Hell - Black Sabbath Lyrics.mp3,.mp3,12002378,11.45
READY_NORMALIZED,House of Pain - Jump Around (Music Video) (Alt 1).mp3,.mp3,8381697,7.99
READY_NORMALIZED,Ice Cube - It Was a Good Day.mp3,.mp3,10537163,10.05
READY_NORMALIZED,Ice Cube - You Know How We Do It.mp3,.mp3,7844527,7.48
READY_NORMALIZED,Ice T - O.g. Original Gangster ｜ Warner Records.mp3,.mp3,7095297,6.77
READY_NORMALIZED,Ignea - Nomad's Luck Napalm Records.mp3,.mp3,12072207,11.51
READY_NORMALIZED,Illumishade - Cloudreader Napalm Records.mp3,.mp3,7323988,6.98
READY_NORMALIZED,Illumishade - Enemy Napalm Records.mp3,.mp3,10859095,10.36
READY_NORMALIZED,Illumishade - Riptide Napalm Records.mp3,.mp3,9579701,9.14
READY_NORMALIZED,J Balvin X Bad Bunny - La Canción ｜ Oasis.mp3,.mp3,8389995,8.0
