file_path,metadata_artist,metadata_title,metadata_album,metadata_genre,metadata_track,tag_version,duration_secs,missing_fields
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - Moth to a Flame Napalm Records.mp3,"Napalm Records, Delain Official",DELAIN - Moth To A Flame (Official Video) | Napalm Records,,Music,63,ID3v2.3,281.4,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - Queen of Shadow Napalm Records.mp3,"Napalm Records, Delain Official",DELAIN - Queen Of Shadow (Official Video) | Napalm Records,,Music,63,ID3v2.3,278.8,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - The Quest and the Curse Napalm Records (Alt 1).mp3,,,,,,ID3v2.4,330.1,TPE1;TIT2;TALB;TCON;TRCK
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - The Reaping Napalm Records.mp3,"Napalm Records, Delain Official",DELAIN - The Reaping (Official Video) | Napalm Records,,Music,63,ID3v2.3,266.2,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Different Heaven & Eh!de - My Heart ｜ Drumstep ｜ Ncs - Copyright Free Music.mp3,NoCopyrightSounds,Different Heaven & EH!DE - My Heart | Drumstep | NCS - Copyright Free Music,,Music,63,ID3v2.3,267.1,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow (Music Video) (Alt 1).mp3,Dimitri Vegas & Like Mike,Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow (Ocarina) (Official Videoclip),,Music,63,ID3v2.3,198.2,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dimitri Vegas & Like Mike vs Sander Van Doorn - Project T (Martin Garrix Remix) (Alt 1).mp3,Spinnin' Records,Dimitri Vegas & Like Mike vs Sander van Doorn - Project T (Martin Garrix Remix),,Music,63,ID3v2.3,310.6,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dio - The Last in Line.mp3,ckeptical,Dio - The Last In Line,,Music,63,ID3v2.4,348.9,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\DJ Jazzy Jeff & the Fresh Prince - Summertime (Music Video) (Alt 1).mp3,DJJazzyJeffVEVO,DJ Jazzy Jeff & The Fresh Prince - Summertime (Official Video),,Music,63,ID3v2.3,240.8,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Doc Holliday - Bad Company ⧸ Amazing Grace.mp3,lepeoci11,Doc Holliday - Bad Company / Amazing Grace,,Music,63,ID3v2.3,646.1,TALB
