group_id,source_type,member_count,selected_primary_path,selected_primary_name,primary_quality_score,primary_size_mb,reason,confidence
G0011,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big Pun - Twinz (Deep Cover 98) ft. Fat Joe.mp3,Big Pun - Twinz (Deep Cover 98) ft. Fat Joe.mp3,65,8.3,quality=65; size=8.3MB; not temp file; margin=0,low
G0012,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris - Summer.mp3,Calvin Harris - Summer.mp3,65,7.6,quality=65; size=7.6MB; not temp file; margin=0,low
G0013,collision,2,"C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris, Rihanna - This Is What You Came For.mp3","Calvin Harris, Rihanna - This Is What You Came For.mp3",65,7.7,quality=65; size=7.7MB; not temp file; margin=0,low
G0014,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_Country\Chris Janson - ＂Buy Me A Boat＂.mp3,Chris Janson - ＂Buy Me A Boat＂.mp3,59,6.6,quality=59; size=6.6MB; not temp file; margin=0,low
G0015,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\Clean Bandit - Rockabye.mp3,Clean Bandit - Rockabye.mp3,60,8.2,quality=60; size=8.2MB; not temp file; margin=0,low
G0016,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\Coldplay - Hymn For The Weekend.mp3,Coldplay - Hymn For The Weekend.mp3,65,9.0,quality=65; size=9.0MB; not temp file; margin=1,low
G0017,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\Coolio - Gangstas Paradise ft. L.V..mp3,Coolio - Gangstas Paradise ft. L.V..mp3,65,8.4,quality=65; size=8.4MB; not temp file; margin=0,low
G0018,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\Coolio - Gangstas Paradise.mp3,Coolio - Gangstas Paradise.mp3,65,8.5,quality=65; size=8.5MB; not temp file; margin=0,low
G0019,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Cypress Hill - Hits from the Bong (Official Audio).mp3,Cypress Hill - Hits from the Bong (Official Audio).mp3,65,5.0,quality=65; size=5.0MB; not temp file; margin=0,low
G0020,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Cypress Hill - Insane In The Brain.mp3,Cypress Hill - Insane In The Brain.mp3,65,7.1,quality=65; size=7.1MB; not temp file; margin=1000,high
G0021,collision,5,C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂The Devils Calling＂.mp3,Dax - ＂The Devils Calling＂.mp3,59,5.8,quality=59; size=5.8MB; not temp file; margin=499,high
G0022,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\dead prez - Hip Hop (Digital Video).mp3,dead prez - Hip Hop (Digital Video).mp3,65,7.7,quality=65; size=7.7MB; not temp file; margin=500,high
G0023,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow.mp3,Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow.mp3,60,6.5,quality=60; size=6.5MB; not temp file; margin=499,high
