track_id,genre,subgenre,bpm_detected,tempo_stability,key_detected,harmonic_stability,bass_energy,mid_energy,high_energy,spectral_centroid,spectral_rolloff,spectral_flux,transient_density,onset_density,vocal_presence,instrumentalness,drum_presence,guitar_presence,synth_presence,section_repeat_score,dynamic_range_score,loudness_lufs,energy,danceability,valence,zero_crossing_rate,rms_mean,spectral_bandwidth,section_count,avg_section_duration
2693,Hip-Hop,,86.1,0.8985,6B,0.5624,,,,,,,,,,,,,,,,-29.2,0.674,0.933,,,,,3.0,106.61266666666666
2698,Hip-Hop,,107.7,0.8989,6B,0.5981,,,,,,,,,,,,,,,,-24.6,0.807,0.63,,,,,3.0,96.49666666666667
2703,Metal,,129.2,0.8479,9A,0.7711,,,,,,,,,,,,,,,,-22.1,1.0,0.803,,,,,3.0,82.67866666666667
2706,Hip-Hop,,129.2,0.85,8A,0.3285,,,,,,,,,,,,,,,,-30.6,0.326,0.452,,,,,2.0,130.434
2708,Country,,114.8,0.8879,3B,0.8584,,,,,,,,,,,,,,,,-27.2,0.695,0.591,,,,,3.0,81.61533333333334
2714,Country,,129.2,0.9,6A,0.6888,,,,,,,,,,,,,,,,-29.5,0.498,0.867,,,,,3.0,70.96933333333332
2715,Country,,136.0,0.9,12B,0.8658,,,,,,,,,,,,,,,,-29.5,0.356,0.814,,,,,3.0,58.52200000000001
2717,Country,,143.6,0.8983,9B,0.7599,,,,,,,,,,,,,,,,-32.0,0.341,0.458,,,,,3.0,59.443333333333335
2722,Country,,152.0,0.9,10B,0.7147,,,,,,,,,,,,,,,,-30.4,0.361,0.638,,,,,3.0,53.61933333333332
2727,Country,,129.2,0.8991,10B,0.8194,,,,,,,,,,,,,,,,-25.7,0.698,0.942,,,,,3.0,82.13933333333334
2731,Country,,143.6,0.9,9B,0.8325,,,,,,,,,,,,,,,,-25.4,0.515,0.866,,,,,2.0,104.098
2733,Country,,136.0,0.8994,7B,0.775,,,,,,,,,,,,,,,,-34.1,0.275,0.783,,,,,3.0,77.87066666666666
2748,Rock,,129.2,0.9,9B,0.7892,,,,,,,,,,,,,,,,-31.8,0.215,0.761,,,,,3.0,82.12133333333333
